IRL, T, +-, T-S, +-, K, +-, D/K, +-
2, 3.623E-17, 1.6%, 3.370E-17, 1.6%, 1.284E-16, 2.4%, 2.821E-01, 2.9%
3, 6.842E-17, 1.0%, 6.373E-17, 1.0%, 1.237E-16, 2.4%, 5.531E-01, 2.6%
4, 8.533E-17, 0.9%, 7.954E-17, 0.9%, 1.227E-16, 2.4%, 6.955E-01, 2.6%
5, 9.615E-17, 0.8%, 8.967E-17, 0.8%, 1.194E-16, 2.5%, 8.052E-01, 2.6%
6, 1.035E-16, 0.8%, 9.656E-17, 0.8%, 1.203E-16, 2.5%, 8.601E-01, 2.6%
7, 1.086E-16, 0.8%, 1.013E-16, 0.8%, 1.125E-16, 2.5%, 9.654E-01, 2.6%
8, 1.101E-16, 0.8%, 1.027E-16, 0.8%, 1.132E-16, 2.5%, 9.725E-01, 2.7%
9, 1.105E-16, 0.8%, 1.031E-16, 0.8%, 1.180E-16, 2.5%, 9.361E-01, 2.6%
10, 1.147E-16, 0.8%, 1.070E-16, 0.8%, 1.196E-16, 2.5%, 9.589E-01, 2.6%
11, 1.137E-16, 0.8%, 1.061E-16, 0.8%, 1.142E-16, 2.6%, 9.961E-01, 2.7%
12, 1.146E-16, 0.8%, 1.069E-16, 0.8%, 1.128E-16, 2.5%, 1.016E+00, 2.7%
13, 1.138E-16, 0.8%, 1.062E-16, 0.8%, 1.137E-16, 2.5%, 1.001E+00, 2.6%
14, 1.142E-16, 0.8%, 1.066E-16, 0.8%, 1.171E-16, 2.5%, 9.754E-01, 2.6%
15, 1.115E-16, 0.8%, 1.040E-16, 0.8%, 1.086E-16, 2.6%, 1.027E+00, 2.7%
16, 1.125E-16, 0.8%, 1.049E-16, 0.8%, 1.077E-16, 2.6%, 1.044E+00, 2.7%
17, 1.087E-16, 0.8%, 1.014E-16, 0.8%, 1.080E-16, 2.7%, 1.007E+00, 2.8%
18, 1.095E-16, 0.8%, 1.022E-16, 0.8%, 1.102E-16, 2.6%, 9.934E-01, 2.7%
19, 1.070E-16, 0.8%, 9.979E-17, 0.8%, 1.069E-16, 2.6%, 1.001E+00, 2.8%
20, 1.060E-16, 0.8%, 9.886E-17, 0.8%, 1.066E-16, 2.6%, 9.940E-01, 2.7%
21, 1.064E-16, 0.8%, 9.926E-17, 0.8%, 1.047E-16, 2.7%, 1.016E+00, 2.8%
22, 1.056E-16, 1.2%, 9.847E-17, 1.2%, 1.047E-16, 4.5%, 1.008E+00, 4.6%
23, 1.033E-16, 1.2%, 9.641E-17, 1.2%, 1.029E-16, 4.7%, 1.004E+00, 4.8%
24, 1.051E-16, 1.2%, 9.808E-17, 1.2%, 1.082E-16, 4.6%, 9.719E-01, 4.8%
25, 1.023E-16, 1.2%, 9.542E-17, 1.2%, 1.113E-16, 4.5%, 9.190E-01, 4.6%
26, 1.031E-16, 1.2%, 9.614E-17, 1.2%, 1.019E-16, 4.7%, 1.012E+00, 4.8%
27, 1.043E-16, 1.2%, 9.723E-17, 1.2%, 1.014E-16, 4.5%, 1.028E+00, 4.7%
28, 1.017E-16, 1.2%, 9.493E-17, 1.2%, 9.304E-17, 4.7%, 1.093E+00, 4.8%
29, 1.025E-16, 1.2%, 9.563E-17, 1.2%, 1.027E-16, 4.5%, 9.984E-01, 4.7%
30, 9.925E-17, 1.2%, 9.257E-17, 1.2%, 9.720E-17, 4.7%, 1.021E+00, 4.8%
31, 1.004E-16, 1.2%, 9.364E-17, 1.2%, 9.764E-17, 4.6%, 1.028E+00, 4.8%
32, 9.977E-17, 1.2%, 9.307E-17, 1.2%, 1.010E-16, 4.6%, 9.881E-01, 4.7%
33, 1.010E-16, 1.2%, 9.418E-17, 1.2%, 1.033E-16, 4.5%, 9.770E-01, 4.7%
34, 1.013E-16, 1.2%, 9.449E-17, 1.2%, 9.823E-17, 4.7%, 1.031E+00, 4.9%
35, 1.014E-16, 1.2%, 9.464E-17, 1.2%, 1.015E-16, 4.5%, 9.990E-01, 4.7%
36, 9.882E-17, 1.2%, 9.220E-17, 1.2%, 8.767E-17, 4.7%, 1.127E+00, 4.9%
37, 1.014E-16, 1.2%, 9.454E-17, 1.2%, 1.002E-16, 4.7%, 1.011E+00, 4.8%
38, 1.009E-16, 1.2%, 9.410E-17, 1.2%, 9.906E-17, 4.6%, 1.018E+00, 4.8%
39, 1.024E-16, 1.2%, 9.553E-17, 1.2%, 1.015E-16, 4.5%, 1.009E+00, 4.7%
40, 1.012E-16, 1.2%, 9.433E-17, 1.2%, 1.034E-16, 4.7%, 9.783E-01, 4.9%
41, 1.047E-16, 1.2%, 9.764E-17, 1.2%, 1.042E-16, 4.7%, 1.005E+00, 4.8%
42, 9.680E-17, 0.8%, 8.989E-17, 0.8%, 9.561E-17, 2.1%, 1.012E+00, 2.2%
43, 9.563E-17, 0.8%, 8.880E-17, 0.8%, 9.411E-17, 2.1%, 1.016E+00, 2.2%
44, 9.338E-17, 0.8%, 8.672E-17, 0.8%, 9.443E-17, 2.1%, 9.889E-01, 2.2%
45, 9.221E-17, 0.8%, 8.562E-17, 0.8%, 9.163E-17, 2.1%, 1.006E+00, 2.2%
46, 9.130E-17, 0.8%, 8.479E-17, 0.8%, 9.037E-17, 2.1%, 1.010E+00, 2.2%
47, 8.937E-17, 0.8%, 8.300E-17, 0.8%, 8.837E-17, 2.1%, 1.011E+00, 2.3%
48, 8.816E-17, 0.8%, 8.189E-17, 0.8%, 8.955E-17, 2.1%, 9.845E-01, 2.3%
49, 8.742E-17, 0.8%, 8.118E-17, 0.8%, 8.491E-17, 2.1%, 1.030E+00, 2.3%
50, 8.637E-17, 0.8%, 8.021E-17, 0.8%, 8.787E-17, 2.2%, 9.828E-01, 2.3%
51, 8.478E-17, 0.8%, 7.873E-17, 0.8%, 8.348E-17, 2.2%, 1.016E+00, 2.3%
52, 8.356E-17, 0.8%, 7.761E-17, 0.8%, 8.227E-17, 2.2%, 1.016E+00, 2.3%
53, 8.254E-17, 0.8%, 7.667E-17, 0.8%, 7.916E-17, 2.3%, 1.043E+00, 2.4%
54, 8.242E-17, 0.8%, 7.655E-17, 0.8%, 8.405E-17, 2.2%, 9.806E-01, 2.4%
55, 8.052E-17, 0.8%, 7.478E-17, 0.8%, 8.077E-17, 2.3%, 9.970E-01, 2.4%
56, 7.924E-17, 0.8%, 7.360E-17, 0.8%, 7.817E-17, 2.3%, 1.014E+00, 2.5%
57, 7.786E-17, 0.8%, 7.231E-17, 0.8%, 7.859E-17, 2.3%, 9.908E-01, 2.5%
58, 7.738E-17, 0.8%, 7.187E-17, 0.8%, 7.667E-17, 2.3%, 1.009E+00, 2.4%
59, 7.608E-17, 0.9%, 7.065E-17, 0.8%, 7.528E-17, 2.3%, 1.011E+00, 2.5%
60, 7.556E-17, 0.9%, 7.019E-17, 0.9%, 7.202E-17, 2.4%, 1.049E+00, 2.5%
61, 7.331E-17, 0.9%, 6.808E-17, 0.9%, 7.342E-17, 2.4%, 9.985E-01, 2.5%
62, 7.187E-17, 0.9%, 6.675E-17, 0.9%, 7.218E-17, 2.4%, 9.957E-01, 2.6%
63, 7.172E-17, 0.9%, 6.661E-17, 0.9%, 7.321E-17, 2.4%, 9.796E-01, 2.5%
64, 7.196E-17, 0.9%, 6.685E-17, 0.9%, 7.247E-17, 2.4%, 9.930E-01, 2.6%
65, 6.953E-17, 0.9%, 6.459E-17, 0.9%, 7.012E-17, 2.4%, 9.917E-01, 2.6%
66, 6.817E-17, 0.9%, 6.333E-17, 0.9%, 6.806E-17, 2.5%, 1.002E+00, 2.6%
67, 6.871E-17, 0.9%, 6.383E-17, 0.9%, 6.445E-17, 2.5%, 1.066E+00, 2.6%
68, 6.625E-17, 0.9%, 6.154E-17, 0.9%, 6.694E-17, 2.5%, 9.898E-01, 2.7%
69, 6.465E-17, 0.9%, 6.006E-17, 0.9%, 6.595E-17, 2.5%, 9.803E-01, 2.7%
70, 6.422E-17, 0.9%, 5.965E-17, 0.9%, 6.292E-17, 2.5%, 1.021E+00, 2.7%
71, 6.413E-17, 0.9%, 5.956E-17, 0.9%, 6.035E-17, 2.6%, 1.063E+00, 2.8%
72, 6.232E-17, 0.9%, 5.791E-17, 0.9%, 5.970E-17, 2.6%, 1.044E+00, 2.8%
73, 6.063E-17, 1.0%, 5.632E-17, 1.0%, 6.071E-17, 2.6%, 9.986E-01, 2.8%
74, 5.981E-17, 1.0%, 5.556E-17, 1.0%, 5.713E-17, 2.6%, 1.047E+00, 2.8%
75, 5.984E-17, 1.0%, 5.559E-17, 1.0%, 5.868E-17, 2.7%, 1.020E+00, 2.8%
76, 5.865E-17, 1.0%, 5.449E-17, 1.0%, 5.936E-17, 2.7%, 9.879E-01, 2.9%
