IZ, Param, IX=1, +/-, IX=2, +/-, IX=3, +/-, IX=4, +/-, IX=5, +/-, IX=6, +/-, IX=7, +/-, IX=8, +/-, IX=9, +/-, IX=10, +/-, IX=11, +/-, IX=12, +/-, IX=13, +/-, IX=14, +/-, IX=15, +/-, IX=16, +/-, IX=17, +/-, IX=18, +/-, IX=19, +/-, IX=20, +/-, IX=21, +/-, IX=22, +/-, IX=23, +/-, IX=24, +/-, IX=25, +/-, IX=26, +/-, IX=27, +/-, IX=28, +/-, IX=29, +/-, IX=30, +/-, IX=31, +/-, IX=32, +/-, IX=33, +/-, IX=34, +/-, IX=35, +/-, IX=36, +/-, IX=37, +/-, IX=38, +/-, IX=39, +/-, IX=40, +/-, IX=41, +/-, IX=42, +/-, IX=43, +/-, IX=44, +/-, IX=45, +/-, IX=46, +/-, IX=47, +/-, IX=48, +/-, IX=49, +/-, IX=50, +/-, IX=51, +/-, IX=52, +/-, IX=53, +/-, IX=54, +/-, IX=55, +/-, IX=56, +/-, IX=57, +/-, IX=58, +/-, IX=59, +/-, IX=60, +/-
1, T, 6.617E-17, 1.8%, 6.738E-17, 1.2%, 6.785E-17, 0.9%, 6.903E-17, 0.8%, 6.752E-17, 0.7%, 6.698E-17, 0.6%, 6.712E-17, 0.6%, 6.575E-17, 0.6%, 6.546E-17, 0.5%, 6.508E-17, 0.5%, 6.358E-17, 0.5%, 6.230E-17, 0.5%, 6.104E-17, 0.4%, 5.951E-17, 0.4%, 5.794E-17, 0.4%, 5.589E-17, 0.4%, 5.408E-17, 0.4%, 5.253E-17, 0.4%, 5.102E-17, 0.4%, 4.919E-17, 0.4%, 4.711E-17, 0.4%, 4.503E-17, 0.4%, 4.311E-17, 0.4%, 4.083E-17, 0.4%, 3.900E-17, 0.4%, 3.662E-17, 0.4%, 3.436E-17, 0.4%, 3.235E-17, 0.4%, 3.014E-17, 0.4%, 2.813E-17, 0.4%, 2.606E-17, 0.4%, 2.393E-17, 0.4%, 2.182E-17, 0.4%, 1.985E-17, 0.5%, 1.797E-17, 0.5%, 1.628E-17, 0.5%, 1.455E-17, 0.5%, 1.297E-17, 0.5%, 1.149E-17, 0.5%, 1.023E-17, 0.6%, 9.061E-18, 0.6%, 8.033E-18, 0.6%, 6.997E-18, 0.6%, 6.124E-18, 0.7%, 5.437E-18, 0.7%, 4.814E-18, 0.7%, 4.288E-18, 0.7%, 3.818E-18, 0.8%, 3.375E-18, 0.8%, 3.022E-18, 0.8%, 2.716E-18, 0.8%, 2.478E-18, 0.9%, 2.266E-18, 0.9%, 2.049E-18, 0.9%, 1.880E-18, 1.0%, 1.739E-18, 1.0%, 1.573E-18, 1.0%, 1.431E-18, 1.0%, 1.285E-18, 1.1%, 1.077E-18, 1.1%
1, TS, 6.166E-17, 1.8%, 6.278E-17, 1.2%, 6.328E-17, 0.9%, 6.432E-17, 0.8%, 6.295E-17, 0.7%, 6.244E-17, 0.6%, 6.257E-17, 0.6%, 6.128E-17, 0.6%, 6.104E-17, 0.5%, 6.066E-17, 0.5%, 5.928E-17, 0.5%, 5.807E-17, 0.5%, 5.690E-17, 0.4%, 5.547E-17, 0.4%, 5.401E-17, 0.4%, 5.211E-17, 0.4%, 5.041E-17, 0.4%, 4.897E-17, 0.4%, 4.756E-17, 0.4%, 4.584E-17, 0.4%, 4.392E-17, 0.4%, 4.198E-17, 0.4%, 4.019E-17, 0.4%, 3.806E-17, 0.4%, 3.635E-17, 0.4%, 3.414E-17, 0.4%, 3.203E-17, 0.4%, 3.015E-17, 0.4%, 2.809E-17, 0.4%, 2.623E-17, 0.4%, 2.429E-17, 0.4%, 2.231E-17, 0.4%, 2.034E-17, 0.4%, 1.851E-17, 0.5%, 1.676E-17, 0.5%, 1.517E-17, 0.5%, 1.356E-17, 0.5%, 1.209E-17, 0.5%, 1.071E-17, 0.5%, 9.542E-18, 0.6%, 8.451E-18, 0.6%, 7.490E-18, 0.6%, 6.523E-18, 0.6%, 5.709E-18, 0.7%, 5.070E-18, 0.7%, 4.489E-18, 0.7%, 3.998E-18, 0.7%, 3.560E-18, 0.8%, 3.149E-18, 0.8%, 2.818E-18, 0.8%, 2.534E-18, 0.8%, 2.310E-18, 0.9%, 2.113E-18, 0.9%, 1.911E-18, 0.9%, 1.754E-18, 1.0%, 1.621E-18, 1.0%, 1.467E-18, 1.0%, 1.334E-18, 1.0%, 1.199E-18, 1.1%, 1.004E-18, 1.1%
1, K, 1.170E-16, 5.3%, 1.166E-16, 3.1%, 1.143E-16, 2.4%, 1.189E-16, 2.0%, 1.153E-16, 1.8%, 1.148E-16, 1.6%, 1.167E-16, 1.5%, 1.169E-16, 1.4%, 1.142E-16, 1.3%, 1.135E-16, 1.2%, 1.117E-16, 1.2%, 1.083E-16, 1.2%, 1.070E-16, 1.1%, 1.022E-16, 1.1%, 1.006E-16, 1.1%, 9.953E-17, 1.1%, 9.304E-17, 1.0%, 8.960E-17, 1.0%, 8.725E-17, 1.0%, 8.412E-17, 1.0%, 7.939E-17, 1.0%, 7.685E-17, 1.0%, 7.296E-17, 1.0%, 6.839E-17, 1.0%, 6.447E-17, 1.0%, 6.074E-17, 1.0%, 5.685E-17, 1.1%, 5.167E-17, 1.1%, 4.854E-17, 1.1%, 4.456E-17, 1.1%, 4.085E-17, 1.2%, 3.631E-17, 1.2%, 3.147E-17, 1.3%, 2.816E-17, 1.3%, 2.449E-17, 1.4%, 2.108E-17, 1.5%, 1.785E-17, 1.6%, 1.470E-17, 1.7%, 1.225E-17, 1.9%, 9.993E-18, 2.1%, 7.812E-18, 2.3%, 6.229E-18, 2.5%, 4.773E-18, 2.8%, 3.531E-18, 3.3%, 2.574E-18, 3.7%, 1.887E-18, 4.1%, 1.456E-18, 4.5%, 1.024E-18, 5.1%, 7.468E-19, 5.4%, 5.352E-19, 5.9%, 4.591E-19, 5.8%, 4.685E-19, 5.6%, 4.073E-19, 5.7%, 3.598E-19, 5.4%, 3.508E-19, 5.1%, 3.600E-19, 4.5%, 3.350E-19, 4.5%, 3.170E-19, 4.5%, 3.144E-19, 4.1%, 3.249E-19, 3.5%
1, DK, 5.654E-01, 5.6%, 5.779E-01, 3.3%, 5.937E-01, 2.6%, 5.804E-01, 2.1%, 5.854E-01, 1.9%, 5.835E-01, 1.7%, 5.754E-01, 1.6%, 5.624E-01, 1.5%, 5.732E-01, 1.4%, 5.732E-01, 1.3%, 5.694E-01, 1.3%, 5.751E-01, 1.3%, 5.707E-01, 1.2%, 5.822E-01, 1.2%, 5.762E-01, 1.2%, 5.616E-01, 1.1%, 5.813E-01, 1.1%, 5.863E-01, 1.1%, 5.847E-01, 1.1%, 5.847E-01, 1.1%, 5.934E-01, 1.1%, 5.859E-01, 1.1%, 5.910E-01, 1.1%, 5.970E-01, 1.1%, 6.048E-01, 1.1%, 6.029E-01, 1.1%, 6.044E-01, 1.1%, 6.261E-01, 1.2%, 6.209E-01, 1.2%, 6.313E-01, 1.2%, 6.378E-01, 1.2%, 6.591E-01, 1.3%, 6.932E-01, 1.4%, 7.050E-01, 1.4%, 7.340E-01, 1.5%, 7.721E-01, 1.6%, 8.147E-01, 1.7%, 8.821E-01, 1.8%, 9.379E-01, 2.0%, 1.024E+00, 2.1%, 1.160E+00, 2.4%, 1.290E+00, 2.6%, 1.466E+00, 2.9%, 1.734E+00, 3.4%, 2.112E+00, 3.7%, 2.551E+00, 4.2%, 2.944E+00, 4.6%, 3.727E+00, 5.1%, 4.520E+00, 5.5%, 5.645E+00, 5.9%, 5.916E+00, 5.9%, 5.288E+00, 5.6%, 5.563E+00, 5.8%, 5.693E+00, 5.5%, 5.359E+00, 5.2%, 4.831E+00, 4.6%, 4.696E+00, 4.6%, 4.513E+00, 4.6%, 4.088E+00, 4.3%, 3.316E+00, 3.7%
2, T, 8.224E-17, 6.0%, 7.951E-17, 3.9%, 8.003E-17, 3.0%, 7.960E-17, 2.5%, 7.850E-17, 2.2%, 7.874E-17, 2.0%, 8.050E-17, 1.8%, 8.142E-17, 1.7%, 8.011E-17, 1.6%, 8.006E-17, 1.5%, 7.641E-17, 1.4%, 7.570E-17, 1.4%, 7.493E-17, 1.4%, 7.156E-17, 1.3%, 6.983E-17, 1.3%, 6.717E-17, 1.3%, 6.508E-17, 1.3%, 6.253E-17, 1.3%, 6.054E-17, 1.2%, 5.700E-17, 1.2%, 5.581E-17, 1.2%, 5.410E-17, 1.2%, 5.251E-17, 1.2%, 5.050E-17, 1.2%, 4.777E-17, 1.2%, 4.556E-17, 1.2%, 4.327E-17, 1.2%, 4.005E-17, 1.2%, 3.753E-17, 1.3%, 3.483E-17, 1.3%, 3.268E-17, 1.3%, 3.068E-17, 1.3%, 2.816E-17, 1.3%, 2.595E-17, 1.4%, 2.382E-17, 1.4%, 2.198E-17, 1.4%, 2.003E-17, 1.5%, 1.764E-17, 1.5%, 1.618E-17, 1.6%, 1.443E-17, 1.6%, 1.338E-17, 1.7%, 1.178E-17, 1.7%, 1.058E-17, 1.8%, 9.575E-18, 1.9%, 8.767E-18, 1.9%, 7.672E-18, 2.0%, 7.061E-18, 2.1%, 6.282E-18, 2.1%, 5.931E-18, 2.2%, 5.221E-18, 2.2%, 4.736E-18, 2.3%, 4.317E-18, 2.4%, 4.140E-18, 2.5%, 3.873E-18, 2.5%, 3.481E-18, 2.6%, 3.245E-18, 2.6%, 2.970E-18, 2.8%, 2.708E-18, 2.9%, 2.427E-18, 3.0%, 2.038E-18, 2.9%
2, TS, 7.693E-17, 5.9%, 7.413E-17, 3.9%, 7.476E-17, 3.0%, 7.422E-17, 2.5%, 7.323E-17, 2.2%, 7.342E-17, 2.0%, 7.511E-17, 1.8%, 7.589E-17, 1.7%, 7.477E-17, 1.6%, 7.466E-17, 1.5%, 7.129E-17, 1.4%, 7.065E-17, 1.4%, 6.986E-17, 1.4%, 6.675E-17, 1.3%, 6.514E-17, 1.3%, 6.268E-17, 1.3%, 6.070E-17, 1.3%, 5.831E-17, 1.2%, 5.645E-17, 1.2%, 5.315E-17, 1.2%, 5.202E-17, 1.2%, 5.047E-17, 1.2%, 4.899E-17, 1.2%, 4.711E-17, 1.2%, 4.455E-17, 1.2%, 4.249E-17, 1.2%, 4.035E-17, 1.2%, 3.734E-17, 1.2%, 3.502E-17, 1.3%, 3.248E-17, 1.3%, 3.046E-17, 1.3%, 2.862E-17, 1.3%, 2.627E-17, 1.3%, 2.420E-17, 1.4%, 2.222E-17, 1.4%, 2.051E-17, 1.4%, 1.867E-17, 1.5%, 1.644E-17, 1.5%, 1.509E-17, 1.6%, 1.346E-17, 1.6%, 1.248E-17, 1.7%, 1.099E-17, 1.7%, 9.874E-18, 1.8%, 8.934E-18, 1.9%, 8.184E-18, 1.9%, 7.154E-18, 2.0%, 6.588E-18, 2.1%, 5.867E-18, 2.1%, 5.534E-18, 2.2%, 4.875E-18, 2.2%, 4.414E-18, 2.3%, 4.027E-18, 2.4%, 3.867E-18, 2.5%, 3.614E-18, 2.5%, 3.247E-18, 2.5%, 3.028E-18, 2.6%, 2.772E-18, 2.8%, 2.527E-18, 2.9%, 2.264E-18, 3.0%, 1.899E-18, 2.9%
2, K, 1.185E-16, 24.3%, 9.801E-17, 13.2%, 1.098E-16, 11.4%, 1.226E-16, 8.9%, 1.139E-16, 8.2%, 1.195E-16, 7.1%, 1.163E-16, 6.7%, 1.073E-16, 6.3%, 1.155E-16, 5.7%, 1.129E-16, 5.5%, 1.236E-16, 5.1%, 1.134E-16, 5.0%, 1.028E-16, 5.0%, 1.014E-16, 5.0%, 9.958E-17, 4.8%, 9.119E-17, 4.8%, 8.631E-17, 4.9%, 9.045E-17, 4.6%, 8.769E-17, 4.5%, 8.223E-17, 4.5%, 7.344E-17, 4.7%, 7.348E-17, 4.5%, 6.937E-17, 4.6%, 7.342E-17, 4.4%, 6.271E-17, 4.7%, 6.350E-17, 4.6%, 5.849E-17, 4.6%, 5.236E-17, 4.8%, 4.880E-17, 5.0%, 4.347E-17, 5.1%, 3.917E-17, 5.2%, 3.507E-17, 5.6%, 3.670E-17, 5.3%, 2.922E-17, 5.8%, 2.994E-17, 5.8%, 2.377E-17, 6.5%, 1.733E-17, 7.0%, 1.585E-17, 7.4%, 1.216E-17, 8.2%, 8.681E-18, 9.3%, 8.692E-18, 9.3%, 6.554E-18, 10.4%, 6.608E-18, 11.3%, 3.572E-18, 13.4%, 3.132E-18, 15.6%, 3.012E-18, 16.3%, 1.072E-18, 19.5%, 1.182E-18, 18.8%, 8.724E-19, 20.3%, 9.008E-19, 19.7%, 4.667E-19, 22.5%, 5.225E-19, 23.3%, 5.732E-19, 21.6%, 3.518E-19, 20.4%, 4.018E-19, 17.9%, 6.042E-19, 19.4%, 4.947E-19, 18.3%, 4.161E-19, 17.6%, 4.184E-19, 17.9%, 4.088E-19, 18.5%
2, DK, 6.943E-01, 25.0%, 8.113E-01, 13.7%, 7.290E-01, 11.7%, 6.493E-01, 9.2%, 6.890E-01, 8.5%, 6.590E-01, 7.3%, 6.921E-01, 6.9%, 7.585E-01, 6.5%, 6.938E-01, 5.9%, 7.088E-01, 5.7%, 6.181E-01, 5.3%, 6.675E-01, 5.2%, 7.289E-01, 5.2%, 7.059E-01, 5.1%, 7.012E-01, 5.0%, 7.366E-01, 5.0%, 7.541E-01, 5.0%, 6.914E-01, 4.7%, 6.904E-01, 4.7%, 6.932E-01, 4.7%, 7.600E-01, 4.9%, 7.363E-01, 4.6%, 7.570E-01, 4.8%, 6.878E-01, 4.6%, 7.618E-01, 4.8%, 7.175E-01, 4.8%, 7.397E-01, 4.8%, 7.648E-01, 4.9%, 7.691E-01, 5.1%, 8.012E-01, 5.3%, 8.343E-01, 5.4%, 8.750E-01, 5.7%, 7.672E-01, 5.5%, 8.884E-01, 6.0%, 7.956E-01, 5.9%, 9.248E-01, 6.7%, 1.156E+00, 7.1%, 1.113E+00, 7.6%, 1.330E+00, 8.4%, 1.662E+00, 9.4%, 1.539E+00, 9.5%, 1.797E+00, 10.5%, 1.602E+00, 11.4%, 2.681E+00, 13.5%, 2.799E+00, 15.7%, 2.547E+00, 16.4%, 6.587E+00, 19.6%, 5.316E+00, 18.9%, 6.799E+00, 20.5%, 5.796E+00, 19.8%, 1.015E+01, 22.6%, 8.262E+00, 23.5%, 7.222E+00, 21.7%, 1.101E+01, 20.5%, 8.665E+00, 18.1%, 5.371E+00, 19.5%, 6.004E+00, 18.5%, 6.509E+00, 17.9%, 5.800E+00, 18.2%, 4.986E+00, 18.7%
3, T, 8.241E-17, 1.6%, 8.166E-17, 1.1%, 8.057E-17, 0.8%, 8.130E-17, 0.7%, 8.019E-17, 0.6%, 8.003E-17, 0.6%, 7.944E-17, 0.5%, 7.780E-17, 0.5%, 7.675E-17, 0.5%, 7.604E-17, 0.5%, 7.505E-17, 0.4%, 7.351E-17, 0.4%, 7.180E-17, 0.4%, 7.053E-17, 0.4%, 6.912E-17, 0.4%, 6.721E-17, 0.4%, 6.484E-17, 0.4%, 6.271E-17, 0.4%, 6.084E-17, 0.4%, 5.867E-17, 0.4%, 5.655E-17, 0.4%, 5.421E-17, 0.4%, 5.214E-17, 0.4%, 4.983E-17, 0.4%, 4.765E-17, 0.4%, 4.529E-17, 0.4%, 4.265E-17, 0.4%, 4.046E-17, 0.4%, 3.790E-17, 0.4%, 3.558E-17, 0.4%, 3.318E-17, 0.4%, 3.085E-17, 0.4%, 2.868E-17, 0.4%, 2.631E-17, 0.4%, 2.423E-17, 0.4%, 2.224E-17, 0.4%, 2.027E-17, 0.4%, 1.839E-17, 0.4%, 1.675E-17, 0.4%, 1.509E-17, 0.5%, 1.359E-17, 0.5%, 1.236E-17, 0.5%, 1.119E-17, 0.5%, 1.011E-17, 0.5%, 9.260E-18, 0.5%, 8.380E-18, 0.5%, 7.602E-18, 0.6%, 6.911E-18, 0.6%, 6.347E-18, 0.6%, 5.793E-18, 0.6%, 5.305E-18, 0.6%, 4.888E-18, 0.6%, 4.530E-18, 0.6%, 4.211E-18, 0.7%, 3.898E-18, 0.7%, 3.605E-18, 0.7%, 3.337E-18, 0.7%, 3.059E-18, 0.7%, 2.742E-18, 0.7%, 2.353E-18, 0.7%
3, TS, 7.687E-17, 1.6%, 7.616E-17, 1.1%, 7.514E-17, 0.8%, 7.584E-17, 0.7%, 7.480E-17, 0.6%, 7.464E-17, 0.6%, 7.409E-17, 0.5%, 7.257E-17, 0.5%, 7.159E-17, 0.5%, 7.093E-17, 0.5%, 7.001E-17, 0.4%, 6.856E-17, 0.4%, 6.697E-17, 0.4%, 6.578E-17, 0.4%, 6.447E-17, 0.4%, 6.270E-17, 0.4%, 6.049E-17, 0.4%, 5.850E-17, 0.4%, 5.676E-17, 0.4%, 5.473E-17, 0.4%, 5.275E-17, 0.4%, 5.057E-17, 0.4%, 4.864E-17, 0.4%, 4.647E-17, 0.4%, 4.445E-17, 0.4%, 4.224E-17, 0.4%, 3.978E-17, 0.4%, 3.774E-17, 0.4%, 3.535E-17, 0.4%, 3.319E-17, 0.4%, 3.095E-17, 0.4%, 2.878E-17, 0.4%, 2.675E-17, 0.4%, 2.454E-17, 0.4%, 2.260E-17, 0.4%, 2.075E-17, 0.4%, 1.891E-17, 0.4%, 1.715E-17, 0.4%, 1.562E-17, 0.4%, 1.408E-17, 0.5%, 1.268E-17, 0.5%, 1.153E-17, 0.5%, 1.044E-17, 0.5%, 9.428E-18, 0.5%, 8.641E-18, 0.5%, 7.819E-18, 0.5%, 7.094E-18, 0.6%, 6.450E-18, 0.6%, 5.924E-18, 0.6%, 5.406E-18, 0.6%, 4.949E-18, 0.6%, 4.561E-18, 0.6%, 4.227E-18, 0.6%, 3.930E-18, 0.7%, 3.638E-18, 0.7%, 3.365E-18, 0.7%, 3.114E-18, 0.7%, 2.854E-18, 0.7%, 2.560E-18, 0.7%, 2.197E-18, 0.7%
