IZ, Param, IX=1, +/-, IX=2, +/-, IX=3, +/-, IX=4, +/-, IX=5, +/-, IX=6, +/-, IX=7, +/-, IX=8, +/-, IX=9, +/-, IX=10, +/-, IX=11, +/-
1, Te-, 2.022E-07, 0.1%, 1.954E-07, 0.1%, 1.811E-07, 0.1%, 1.590E-07, 0.1%, 1.320E-07, 0.1%, 1.028E-07, 0.1%, 7.361E-08, 0.1%, 4.808E-08, 0.1%, 2.960E-08, 0.1%, 1.842E-08, 0.1%, 6.535E-11, 1.7%
1, E1, 1.019E+00, 0.1%, 1.020E+00, 0.1%, 1.021E+00, 0.1%, 1.019E+00, 0.1%, 1.015E+00, 0.1%, 1.007E+00, 0.1%, 9.949E-01, 0.1%, 9.732E-01, 0.1%, 9.413E-01, 0.1%, 9.035E-01, 0.1%, 9.541E-01, 0.9%
1, Tph, 1.470E-05, 0.2%, 1.427E-05, 0.1%, 1.324E-05, 0.1%, 1.141E-05, 0.1%, 9.190E-06, 0.1%, 6.833E-06, 0.1%, 4.368E-06, 0.1%, 2.227E-06, 0.1%, 8.883E-07, 0.2%, 3.097E-07, 0.2%, 5.884E-09, 0.8%
1, E2, 1.770E+00, 0.2%, 1.771E+00, 0.1%, 1.776E+00, 0.1%, 1.777E+00, 0.1%, 1.769E+00, 0.1%, 1.761E+00, 0.1%, 1.747E+00, 0.1%, 1.712E+00, 0.1%, 1.598E+00, 0.1%, 1.269E+00, 0.3%, 9.220E-01, 1.2%
1, Te+, 2.717E-09, 0.8%, 2.636E-09, 0.5%, 2.467E-09, 0.4%, 2.175E-09, 0.4%, 1.823E-09, 0.4%, 1.444E-09, 0.4%, 1.056E-09, 0.4%, 7.120E-10, 0.4%, 4.595E-10, 0.5%, 2.990E-10, 0.5%, 9.764E-13, 7.2%
1, E3-, 1.195E+00, 0.6%, 1.193E+00, 0.4%, 1.198E+00, 0.3%, 1.185E+00, 0.3%, 1.176E+00, 0.2%, 1.157E+00, 0.3%, 1.130E+00, 0.3%, 1.078E+00, 0.3%, 1.010E+00, 0.3%, 9.403E-01, 0.3%, 9.636E-01, 3.4%
1, Pe-, 1.917E-07, 0.1%, 1.853E-07, 0.1%, 1.717E-07, 0.1%, 1.507E-07, 0.1%, 1.251E-07, 0.1%, 9.740E-08, 0.1%, 6.968E-08, 0.1%, 4.544E-08, 0.1%, 2.793E-08, 0.1%, 1.735E-08, 0.1%, 6.148E-11, 1.7%
1, E4, 1.066E+00, 0.1%, 1.067E+00, 0.1%, 1.067E+00, 0.1%, 1.066E+00, 0.1%, 1.062E+00, 0.1%, 1.054E+00, 0.1%, 1.041E+00, 0.1%, 1.020E+00, 0.1%, 9.873E-01, 0.1%, 9.483E-01, 0.1%, 1.003E+00, 0.9%
1, Pph, 1.470E-05, 0.2%, 1.426E-05, 0.1%, 1.323E-05, 0.1%, 1.141E-05, 0.1%, 9.186E-06, 0.1%, 6.829E-06, 0.1%, 4.365E-06, 0.1%, 2.224E-06, 0.1%, 8.857E-07, 0.2%, 3.073E-07, 0.2%, 5.747E-09, 0.8%
1, E5, 1.770E+00, 0.2%, 1.772E+00, 0.1%, 1.776E+00, 0.1%, 1.777E+00, 0.1%, 1.769E+00, 0.1%, 1.762E+00, 0.1%, 1.748E+00, 0.1%, 1.714E+00, 0.1%, 1.601E+00, 0.1%, 1.275E+00, 0.3%, 9.362E-01, 1.2%
1, Pe+, 2.717E-09, 0.8%, 2.636E-09, 0.5%, 2.467E-09, 0.4%, 2.175E-09, 0.4%, 1.823E-09, 0.4%, 1.444E-09, 0.4%, 1.056E-09, 0.4%, 7.120E-10, 0.4%, 4.594E-10, 0.5%, 2.990E-10, 0.5%, 9.764E-13, 7.2%
1, E6, 1.195E+00, 0.6%, 1.193E+00, 0.4%, 1.198E+00, 0.3%, 1.185E+00, 0.3%, 1.176E+00, 0.2%, 1.157E+00, 0.3%, 1.130E+00, 0.3%, 1.078E+00, 0.3%, 1.010E+00, 0.3%, 9.403E-01, 0.3%, 9.636E-01, 3.4%
2, Te-, 1.892E-07, 0.6%, 1.847E-07, 0.4%, 1.726E-07, 0.3%, 1.521E-07, 0.3%, 1.281E-07, 0.2%, 1.021E-07, 0.2%, 7.541E-08, 0.3%, 5.175E-08, 0.3%, 3.318E-08, 0.3%, 2.106E-08, 0.4%, 6.979E-11, 3.4%
2, E1, 1.018E+00, 0.5%, 1.022E+00, 0.3%, 1.019E+00, 0.2%, 1.019E+00, 0.2%, 1.013E+00, 0.2%, 1.007E+00, 0.2%, 9.944E-01, 0.2%, 9.725E-01, 0.2%, 9.434E-01, 0.3%, 9.114E-01, 0.3%, 9.299E-01, 2.2%
2, Tph, 1.197E-05, 0.2%, 1.162E-05, 0.1%, 1.082E-05, 0.1%, 9.409E-06, 0.1%, 7.680E-06, 0.1%, 5.868E-06, 0.1%, 3.940E-06, 0.1%, 2.185E-06, 0.1%, 9.747E-07, 0.2%, 3.797E-07, 0.2%, 7.073E-09, 0.7%
2, E2, 1.834E+00, 0.2%, 1.835E+00, 0.1%, 1.838E+00, 0.1%, 1.839E+00, 0.1%, 1.829E+00, 0.1%, 1.819E+00, 0.1%, 1.802E+00, 0.1%, 1.761E+00, 0.1%, 1.648E+00, 0.1%, 1.348E+00, 0.2%, 7.886E-01, 1.1%
2, Te+, 2.723E-09, 4.5%, 2.591E-09, 2.7%, 2.405E-09, 2.2%, 2.115E-09, 1.9%, 1.829E-09, 1.8%, 1.497E-09, 1.9%, 1.123E-09, 2.0%, 8.033E-10, 2.2%, 5.463E-10, 2.5%, 3.665E-10, 2.9%, 1.319E-12, 24.8%
2, E3-, 1.142E+00, 3.1%, 1.191E+00, 1.7%, 1.181E+00, 1.4%, 1.144E+00, 1.3%, 1.125E+00, 1.2%, 1.120E+00, 1.2%, 1.082E+00, 1.3%, 1.037E+00, 1.5%, 9.702E-01, 1.6%, 9.542E-01, 1.9%, 8.291E-01, 14.4%
2, Pe-, 1.793E-07, 0.6%, 1.748E-07, 0.4%, 1.631E-07, 0.3%, 1.439E-07, 0.3%, 1.213E-07, 0.2%, 9.649E-08, 0.2%, 7.125E-08, 0.3%, 4.886E-08, 0.3%, 3.128E-08, 0.3%, 1.986E-08, 0.4%, 6.546E-11, 3.3%
