IRL, Te-, +-, E1, +-, Tph, +-, E2, +-, Te+, +-, E3, +-, Pe-, +-, E4, +-, Pph, +-, E5, +-, Pe+, +-, E6, +-
2, 5.691E-08, 1.4%, 6.855E-01, 1.6%, 1.752E-05, 0.4%, 1.720E+00, 0.3%, 5.370E-10, 9.9%, 1.052E+00, 7.1%, 5.484E-08, 1.4%, 7.081E-01, 1.6%, 1.752E-05, 0.4%, 1.721E+00, 0.3%, 5.370E-10, 9.9%, 1.052E+00, 7.1%
3, 1.251E-07, 0.8%, 8.092E-01, 0.8%, 1.748E-05, 0.4%, 1.718E+00, 0.3%, 1.399E-09, 6.5%, 1.067E+00, 4.9%, 1.196E-07, 0.8%, 8.407E-01, 0.8%, 1.747E-05, 0.4%, 1.719E+00, 0.3%, 1.399E-09, 6.5%, 1.067E+00, 4.9%
4, 1.667E-07, 0.7%, 8.718E-01, 0.7%, 1.740E-05, 0.4%, 1.718E+00, 0.3%, 2.050E-09, 5.4%, 1.161E+00, 3.9%, 1.590E-07, 0.7%, 9.074E-01, 0.7%, 1.739E-05, 0.4%, 1.718E+00, 0.3%, 2.050E-09, 5.4%, 1.161E+00, 3.9%
5, 1.910E-07, 0.6%, 9.153E-01, 0.6%, 1.730E-05, 0.4%, 1.719E+00, 0.3%, 2.566E-09, 4.9%, 1.162E+00, 3.5%, 1.816E-07, 0.6%, 9.548E-01, 0.6%, 1.730E-05, 0.4%, 1.720E+00, 0.3%, 2.566E-09, 4.9%, 1.162E+00, 3.5%
6, 2.084E-07, 0.6%, 9.602E-01, 0.6%, 1.719E-05, 0.4%, 1.721E+00, 0.3%, 2.723E-09, 4.7%, 1.139E+00, 3.4%, 1.978E-07, 0.6%, 1.003E+00, 0.6%, 1.719E-05, 0.4%, 1.721E+00, 0.3%, 2.723E-09, 4.7%, 1.139E+00, 3.4%
7, 2.166E-07, 0.6%, 9.810E-01, 0.5%, 1.707E-05, 0.4%, 1.722E+00, 0.3%, 2.951E-09, 4.6%, 1.183E+00, 3.1%, 2.059E-07, 0.6%, 1.024E+00, 0.5%, 1.707E-05, 0.4%, 1.723E+00, 0.3%, 2.951E-09, 4.6%, 1.183E+00, 3.1%
8, 2.242E-07, 0.6%, 9.954E-01, 0.5%, 1.695E-05, 0.4%, 1.725E+00, 0.3%, 2.970E-09, 4.5%, 1.159E+00, 3.0%, 2.127E-07, 0.6%, 1.040E+00, 0.5%, 1.694E-05, 0.4%, 1.725E+00, 0.3%, 2.970E-09, 4.5%, 1.159E+00, 3.0%
9, 2.299E-07, 0.6%, 9.991E-01, 0.5%, 1.681E-05, 0.4%, 1.727E+00, 0.3%, 3.068E-09, 4.5%, 1.233E+00, 3.0%, 2.179E-07, 0.6%, 1.045E+00, 0.5%, 1.681E-05, 0.4%, 1.727E+00, 0.3%, 3.068E-09, 4.5%, 1.233E+00, 3.0%
10, 2.277E-07, 0.6%, 1.006E+00, 0.5%, 1.670E-05, 0.4%, 1.729E+00, 0.3%, 3.171E-09, 4.4%, 1.239E+00, 3.1%, 2.160E-07, 0.6%, 1.052E+00, 0.5%, 1.669E-05, 0.4%, 1.729E+00, 0.3%, 3.171E-09, 4.4%, 1.239E+00, 3.1%
11, 2.306E-07, 0.6%, 1.021E+00, 0.5%, 1.656E-05, 0.4%, 1.732E+00, 0.3%, 3.121E-09, 4.5%, 1.230E+00, 3.0%, 2.190E-07, 0.6%, 1.067E+00, 0.5%, 1.656E-05, 0.4%, 1.732E+00, 0.3%, 3.121E-09, 4.5%, 1.230E+00, 3.0%
12, 2.330E-07, 0.6%, 1.018E+00, 0.5%, 1.644E-05, 0.4%, 1.733E+00, 0.3%, 3.090E-09, 4.5%, 1.164E+00, 3.3%, 2.211E-07, 0.6%, 1.065E+00, 0.5%, 1.643E-05, 0.4%, 1.734E+00, 0.3%, 3.090E-09, 4.5%, 1.164E+00, 3.3%
13, 2.325E-07, 0.6%, 1.026E+00, 0.5%, 1.631E-05, 0.4%, 1.736E+00, 0.3%, 3.156E-09, 4.4%, 1.237E+00, 3.0%, 2.203E-07, 0.6%, 1.073E+00, 0.5%, 1.630E-05, 0.4%, 1.736E+00, 0.3%, 3.156E-09, 4.4%, 1.237E+00, 3.0%
14, 2.314E-07, 0.6%, 1.016E+00, 0.5%, 1.618E-05, 0.4%, 1.739E+00, 0.3%, 2.933E-09, 4.6%, 1.182E+00, 3.3%, 2.193E-07, 0.6%, 1.063E+00, 0.5%, 1.618E-05, 0.4%, 1.739E+00, 0.3%, 2.933E-09, 4.6%, 1.182E+00, 3.3%
